;0;1
0;-1.0;2.0
1;-0.98;1.98
2;-0.96;1.96
3;-0.94;1.94
4;-0.92;1.92
5;-0.9;1.9
6;-0.88;1.88
7;-0.86;1.86
8;-0.84;1.84
9;-0.82;1.82
10;-0.8;1.8
11;-0.78;1.78
12;-0.76;1.76
13;-0.74;1.74
14;-0.72;1.72
15;-0.7;1.7
16;-0.68;1.68
17;-0.66;1.66
18;-0.64;1.64
19;-0.62;1.62
20;-0.6;1.6
21;-0.58;1.58
22;-0.56;1.56
23;-0.54;1.54
24;-0.52;1.52
25;-0.5;1.5
26;-0.48;1.48
27;-0.46;1.46
28;-0.44;1.44
29;-0.42;1.42
30;-0.4;1.4
31;-0.38;1.38
32;-0.36;1.36
33;-0.34;1.34
34;-0.32;1.32
35;-0.3;1.3
36;-0.28;1.28
37;-0.26;1.26
38;-0.24;1.24
39;-0.22;1.22
40;-0.2;1.2
41;-0.18;1.18
42;-0.16;1.16
43;-0.14;1.14
44;-0.12;1.12
45;-0.1;1.1
46;-0.08;1.08
47;-0.06;1.06
48;-0.04;1.04
49;-0.02;1.02
50;0.0;1.0
51;0.02;0.98
52;0.04;0.96
53;0.06;0.94
54;0.08;0.92
55;0.1;0.9
56;0.12;0.88
57;0.14;0.86
58;0.16;0.84
59;0.18;0.82
60;0.2;0.8
61;0.22;0.78
62;0.24;0.76
63;0.26;0.74
64;0.28;0.72
65;0.3;0.7
66;0.32;0.68
67;0.34;0.66
68;0.36;0.64
69;0.38;0.62
70;0.4;0.6
71;0.42;0.58
72;0.44;0.56
73;0.46;0.54
74;0.48;0.52
75;0.5;0.5
76;0.52;0.48
77;0.54;0.46
78;0.56;0.44
79;0.58;0.42
80;0.6;0.4
81;0.62;0.38
82;0.64;0.36
83;0.66;0.34
84;0.68;0.32
85;0.7;0.3
86;0.72;0.28
87;0.74;0.26
88;0.76;0.24
89;0.78;0.22
90;0.8;0.2
91;0.82;0.18
92;0.84;0.16
93;0.86;0.14
94;0.88;0.12
95;0.9;0.1
96;0.92;0.08
97;0.94;0.06
98;0.96;0.04
99;0.98;0.02
100;1.0;0.0
101;1.02;-0.02
102;1.04;-0.04
103;1.06;-0.06
104;1.08;-0.08
105;1.1;-0.1
106;1.12;-0.12
107;1.14;-0.14
108;1.16;-0.16
109;1.18;-0.18
110;1.2;-0.2
111;1.22;-0.22
112;1.24;-0.24
113;1.26;-0.26
114;1.28;-0.28
115;1.3;-0.3
116;1.32;-0.32
117;1.34;-0.34
118;1.36;-0.36
119;1.38;-0.38
120;1.4;-0.4
121;1.42;-0.42
122;1.44;-0.44
123;1.46;-0.46
124;1.48;-0.48
125;1.5;-0.5
126;1.52;-0.52
127;1.54;-0.54
128;1.56;-0.56
129;1.58;-0.58
130;1.6;-0.6
131;1.62;-0.62
132;1.64;-0.64
133;1.66;-0.66
134;1.68;-0.68
135;1.7;-0.7
136;1.72;-0.72
137;1.74;-0.74
138;1.76;-0.76
139;1.78;-0.78
140;1.8;-0.8
141;1.82;-0.82
142;1.84;-0.84
143;1.86;-0.86
144;1.88;-0.88
145;1.9;-0.9
146;1.92;-0.92
147;1.94;-0.94
148;1.96;-0.96
149;1.98;-0.98
150;2.0;-1.0
