;0;1;2
0;-1.0;-0.0;2.0
1;-1.0;0.05;1.95
2;-1.0;0.1;1.9
3;-1.0;0.15;1.85
4;-1.0;0.2;1.8
5;-1.0;0.25;1.75
6;-1.0;0.3;1.7
7;-1.0;0.35;1.65
8;-1.0;0.4;1.6
9;-1.0;0.45;1.55
10;-1.0;0.5;1.5
11;-1.0;0.55;1.45
12;-1.0;0.6;1.4
13;-1.0;0.65;1.35
14;-1.0;0.7;1.3
15;-1.0;0.75;1.25
16;-1.0;0.8;1.2
17;-1.0;0.85;1.15
18;-1.0;0.9;1.1
19;-1.0;0.95;1.05
20;-1.0;1.0;1.0
21;-1.0;1.05;0.95
22;-1.0;1.1;0.9
23;-1.0;1.15;0.85
24;-1.0;1.2;0.8
25;-1.0;1.25;0.75
26;-1.0;1.3;0.7
27;-1.0;1.35;0.65
28;-1.0;1.4;0.6
29;-1.0;1.45;0.55
30;-1.0;1.5;0.5
31;-1.0;1.55;0.45
32;-1.0;1.6;0.4
33;-1.0;1.65;0.35
34;-1.0;1.7;0.3
35;-1.0;1.75;0.25
36;-1.0;1.8;0.2
37;-1.0;1.85;0.15
38;-1.0;1.9;0.1
39;-1.0;1.95;0.05
40;-1.0;2.0;0.0
41;-0.95;-0.05;2.0
42;-0.95;-0.0;1.95
43;-0.95;0.05;1.9
44;-0.95;0.1;1.85
45;-0.95;0.15;1.8
46;-0.95;0.2;1.75
47;-0.95;0.25;1.7
48;-0.95;0.3;1.65
49;-0.95;0.35;1.6
50;-0.95;0.4;1.55
51;-0.95;0.45;1.5
52;-0.95;0.5;1.45
53;-0.95;0.55;1.4
54;-0.95;0.6;1.35
55;-0.95;0.65;1.3
56;-0.95;0.7;1.25
57;-0.95;0.75;1.2
58;-0.95;0.8;1.15
59;-0.95;0.85;1.1
60;-0.95;0.9;1.05
61;-0.95;0.95;1.0
62;-0.95;1.0;0.95
63;-0.95;1.05;0.9
64;-0.95;1.1;0.85
65;-0.95;1.15;0.8
66;-0.95;1.2;0.75
67;-0.95;1.25;0.7
68;-0.95;1.3;0.65
69;-0.95;1.35;0.6
70;-0.95;1.4;0.55
71;-0.95;1.45;0.5
72;-0.95;1.5;0.45
73;-0.95;1.55;0.4
74;-0.95;1.6;0.35
75;-0.95;1.65;0.3
76;-0.95;1.7;0.25
77;-0.95;1.75;0.2
78;-0.95;1.8;0.15
79;-0.95;1.85;0.1
80;-0.95;1.9;0.05
81;-0.95;1.95;0.0
82;-0.95;2.0;-0.05
83;-0.9;-0.1;2.0
84;-0.9;-0.05;1.95
85;-0.9;0.0;1.9
86;-0.9;0.05;1.85
87;-0.9;0.1;1.8
88;-0.9;0.15;1.75
89;-0.9;0.2;1.7
90;-0.9;0.25;1.65
91;-0.9;0.3;1.6
92;-0.9;0.35;1.55
93;-0.9;0.4;1.5
94;-0.9;0.45;1.45
95;-0.9;0.5;1.4
96;-0.9;0.55;1.35
97;-0.9;0.6;1.3
98;-0.9;0.65;1.25
99;-0.9;0.7;1.2
100;-0.9;0.75;1.15
101;-0.9;0.8;1.1
102;-0.9;0.85;1.05
103;-0.9;0.9;1.0
104;-0.9;0.95;0.95
105;-0.9;1.0;0.9
106;-0.9;1.05;0.85
107;-0.9;1.1;0.8
108;-0.9;1.15;0.75
109;-0.9;1.2;0.7
110;-0.9;1.25;0.65
111;-0.9;1.3;0.6
112;-0.9;1.35;0.55
113;-0.9;1.4;0.5
114;-0.9;1.45;0.45
115;-0.9;1.5;0.4
116;-0.9;1.55;0.35
117;-0.9;1.6;0.3
118;-0.9;1.65;0.25
119;-0.9;1.7;0.2
120;-0.9;1.75;0.15
121;-0.9;1.8;0.1
122;-0.9;1.85;0.05
123;-0.9;1.9;0.0
124;-0.9;1.95;-0.05
125;-0.9;2.0;-0.1
126;-0.85;-0.15;2.0
127;-0.85;-0.1;1.95
128;-0.85;-0.05;1.9
129;-0.85;0.0;1.85
130;-0.85;0.05;1.8
131;-0.85;0.1;1.75
132;-0.85;0.15;1.7
133;-0.85;0.2;1.65
134;-0.85;0.25;1.6
135;-0.85;0.3;1.55
136;-0.85;0.35;1.5
137;-0.85;0.4;1.45
138;-0.85;0.45;1.4
139;-0.85;0.5;1.35
140;-0.85;0.55;1.3
141;-0.85;0.6;1.25
142;-0.85;0.65;1.2
143;-0.85;0.7;1.15
144;-0.85;0.75;1.1
145;-0.85;0.8;1.05
146;-0.85;0.85;1.0
147;-0.85;0.9;0.95
148;-0.85;0.95;0.9
149;-0.85;1.0;0.85
150;-0.85;1.05;0.8
151;-0.85;1.1;0.75
152;-0.85;1.15;0.7
153;-0.85;1.2;0.65
154;-0.85;1.25;0.6
155;-0.85;1.3;0.55
156;-0.85;1.35;0.5
157;-0.85;1.4;0.45
158;-0.85;1.45;0.4
159;-0.85;1.5;0.35
160;-0.85;1.55;0.3
161;-0.85;1.6;0.25
162;-0.85;1.65;0.2
